working_index0,csv_row_index0,x,y,rx_time,selected_receivers,official_error_m,rssfit_stable_error_m,rssfit_prior_default_error_m,official_x,official_y,rssfit_x,rssfit_y
29559,69627,598513.2714991578,5674832.224567273,2019-01-09T16:39:33.824467417+01:00,14;9;32;27,342.7864233778518,4196.887852065168,4197.021162022559,598693.1381580419,5675124.030182493,602702.5121362149,5675085.464626587
2001,4568,599159.526587237,5674951.1828351775,2019-01-04T11:06:52.884879007+01:00,14;7;9;5;37;70;20;32;19;12,373.9622958300354,3200.9514626573946,3201.258604461568,599099.5242350528,5675320.300047503,602315.1049130744,5675488.22631181
32655,77075,598503.4884460277,5672895.291785236,2019-01-11T08:55:41.113893937+01:00,69;15;18;25,282.9118110002456,6223.527172548318,6223.5277359704905,598274.611199896,5672728.99596747,601534.7473737488,5678330.708952351
37754,89150,601811.709368706,5674641.130525559,2019-01-26T11:59:23.002+01:00,7;9;70,456.7673008337579,3069.9661414485113,3069.9661414485113,601405.3620193291,5674849.740685344,603670.4223910674,5677084.463906444
1671,3812,598727.0662295629,5675873.454290276,2019-01-23T09:27:13.935930202+01:00,14;9;32;17,722.5708517928026,4170.453227682553,4169.767380650563,598718.2313654275,5675150.937452385,602757.4580462832,5674801.716482787
40881,96619,599132.5822231867,5672408.781526081,2019-01-06T19:29:01.512+01:00,10;69;27,99.72273662338958,770.6623327627393,769.8795587448941,599197.2578125007,5672484.687338418,598824.9503517622,5673115.381174272
15763,36844,599136.4890930249,5672410.129989679,2019-01-09T16:11:22.456+01:00,10;69;1;2,99.46506604486967,771.3453112991707,770.5872947194706,599204.9807651578,5672482.2561999755,598855.138616151,5673128.332954325
37825,89351,599130.7667197695,5672409.595193479,2019-01-09T06:58:15.390+01:00,10;2;69;27,109.379652163154,655.8255861762793,655.1455219453476,599207.9143109036,5672487.133296948,598955.8679677782,5673041.66926037
6084,14121,597010.996648985,5673522.499957638,2019-01-14T10:45:21.571+01:00,27;18;25;69;19,390.5317946377958,4412.988509011534,4412.901266020185,597374.512144113,5673379.770957694,599647.5657367497,5677061.280966137
35225,83023,599135.6815210037,5672386.35062614,2019-01-16T13:44:32.032+01:00,10;2;17;11;1;69,172.67555937713476,430.6931250321541,430.53594338092745,599265.939167935,5672499.7075589765,599287.0332729692,5672789.574156117
