experiment,contrast,scheme,replicates,n_messages,n_units,draw_size_min,draw_size_max,difference_m,ratio,difference_low_m,difference_high_m,ratio_low,ratio_high
removal_16_6,MinMax_minus_FP_on_survivors,paired_messages,6000,845,845,845,845,190.61828404586447,1.3854036207464033,153.35145336476128,244.3645655734433,1.2967731215986666,1.5089001722976543
removal_16_6,FP_removal_on_survivors,spatial_1000m,6000,845,39,221,2284,170.2859951201366,1.5250750501414256,114.99893938563031,289.64933768834396,1.3511085256242321,1.863282816749783
removal_16_6,MinMax_removal_on_survivors,spatial_1000m,6000,845,39,221,2284,35.50055224131006,1.0546404741887243,-29.965161121696276,151.99547871435286,0.955696344718547,1.2382265802933363
removal_16_6,MinMax_minus_FP_on_survivors,spatial_1000m,6000,845,39,221,2284,190.61828404586447,1.3854036207464033,93.11872082714949,274.4594333193997,1.1514178887388031,1.6332725765061722
removal_16_7,FP_removal_on_survivors,paired_messages,6000,952,952,952,952,99.91042194683632,1.3389765035819745,57.75966246780698,132.22280170765774,1.1826615376247254,1.4655349454403972
removal_16_7,MinMax_removal_on_survivors,paired_messages,6000,952,952,952,952,85.95958518829593,1.1348281073814634,47.65818445937296,123.40868723836404,1.0744443451116752,1.1966945782451046
removal_16_7,MinMax_minus_FP_on_survivors,paired_messages,6000,952,952,952,952,328.85717189777836,1.8332842327232828,278.5672340121244,380.38304155500686,1.666270914056811,2.0381668397448878
removal_16_7,FP_removal_on_survivors,spatial_1000m,6000,952,30,283,2210,99.91042194683632,1.3389765035819745,61.044332096962805,168.96500005184026,1.2011041166780585,1.5887649969425561
removal_16_7,MinMax_removal_on_survivors,spatial_1000m,6000,952,30,283,2210,85.95958518829593,1.1348281073814634,1.7637987239215163,216.47148484207358,1.0029668855123681,1.3306676708290976
removal_16_7,MinMax_minus_FP_on_survivors,spatial_1000m,6000,952,30,283,2210,328.85717189777836,1.8332842327232828,132.59283440480033,466.9139819125188,1.2911322779657206,2.279254081939461
removal_10_0,FP_removal_on_survivors,paired_messages,6000,177,177,177,177,86.95317276382852,1.358361693808653,16.57224093584341,125.86619490560312,1.0652376487880952,1.5426204281863771
removal_10_0,MinMax_removal_on_survivors,paired_messages,6000,177,177,177,177,-249.4299924096954,0.6496568999672053,-349.0307131965314,-173.1979686107506,0.5665467896632528,0.7327185710077921
removal_10_0,MinMax_minus_FP_on_survivors,paired_messages,6000,177,177,177,177,132.93521941586533,1.403330233936098,84.42655225614794,200.18304962406972,1.2353145541042063,1.7418187725452796
removal_10_0,FP_removal_on_survivors,spatial_1000m,6000,177,17,20,715,86.95317276382852,1.358361693808653,30.032184447108875,213.77481470991188,1.1014353883316583,1.6264500796132075
