experiment,contrast,numerator_arm,denominator_arm,scheme,n_messages,replicates,n_units,draw_size_min,draw_size_max,numerator_median_m,denominator_median_m,point_difference_m,point_ratio,difference_low_m,difference_high_m,ratio_low,ratio_high,numerator_worse_fraction,exact_ties,nonpositive_difference_draws
no71,official_vs_raw:FP_k3,coordinate_independent:FP_k3,official:WCL_raw,spatial_500m,2493,6000,107,974,5799,219.29225647763056,479.4601660745637,-260.1679095969331,0.45737325432688214,-414.09893229676385,-164.0268843786396,0.17079614848768823,0.5585582360554852,0.18772563176895307,0,6000
no71,assignment:WCL_raw,rssfit_stable:WCL_raw,official:WCL_raw,spatial_1000m,2493,6000,39,672,5919,3623.7337930322697,479.4601660745637,3144.273626957706,7.557945475847354,757.2294311431957,3443.3425435952727,4.8165692470937955,10.345627592062396,0.9899719213798637,0,0
no71,assignment:WCL_bc,rssfit_stable:WCL_bc,official:WCL_bc,spatial_1000m,2493,6000,39,672,5919,3112.7412287798347,582.1997800181365,2530.541448761698,5.346517356435394,644.6115552670768,3019.9257189892937,3.632262077962968,7.558113233874886,0.9787404733253109,0,0
no71,assignment:ABS_mean,rssfit_stable:ABS_mean,official:ABS_mean,spatial_1000m,2493,6000,39,672,5919,1244.7414770108212,527.690987738094,717.0504892727272,2.358845434041441,624.2627877454782,1095.3505740967594,1.9229951612118346,3.911987698662891,0.8110709987966306,0,0
no71,assignment:DIFF_median,rssfit_stable:DIFF_median,official:DIFF_median,spatial_1000m,2493,6000,39,672,5919,1611.4167897843547,1003.4028574107342,608.0139323736205,1.605951964241552,392.1111176967612,938.8039942937531,1.2486731847033865,4.4118366351377345,0.7059767348576013,0,1
no71,assignment:HYBRID_mean,rssfit_stable:HYBRID_mean,official:HYBRID_mean,spatial_1000m,2493,6000,39,672,5919,1225.798663132137,575.0609749615489,650.7376881705882,2.1315977200749874,552.1353220105432,940.6294647845078,1.7169904143900796,3.985137043677562,0.779783393501805,0,0
no71,assignment:NLLS,rssfit_stable:NLLS,official:NLLS,spatial_1000m,2493,6000,39,672,5919,1201.8578931852549,518.6011836162054,683.2567095690495,2.3174993254058953,577.1482659638405,982.4724442378531,1.9232585497866332,4.630383705538587,0.8038507821901324,0,0
no71,assignment:Trilat,rssfit_stable:Trilat,official:Trilat,spatial_1000m,2493,6000,39,672,5919,1708.859917853748,584.2565901583599,1124.603327695388,2.9248449168379422,901.4598370368232,2033.2260324725714,2.401826802315062,5.212154957782692,0.7785800240673887,0,0
no71,assignment:MinMax,rssfit_stable:MinMax,official:MinMax,spatial_1000m,2493,6000,39,672,5919,2111.3614804502936,465.808146845612,1645.5533336046815,4.532684743167632,696.0975958243788,2786.4095829270314,3.4924856977192458,5.947675971016351,0.9221821099077416,0,0
no71,official_vs_raw:WCL_bc,official:WCL_bc,official:WCL_raw,spatial_1000m,2493,6000,39,672,5919,582.1997800181365,479.4601660745637,102.7396139435728,1.2142818553305952,-64.93351026527048,243.13587827221295,0.7081165629048797,1.4202708495832808,0.4817488969113518,0,828
no71,official_vs_raw:ABS_mean,official:ABS_mean,official:WCL_raw,spatial_1000m,2493,6000,39,672,5919,527.690987738094,479.4601660745637,48.23082166353032,1.1005940119247146,-183.13048872876286,263.56764326677006,0.7384501207710197,1.658627947872322,0.4717208182912154,0,1849
no71,official_vs_raw:DIFF_median,official:DIFF_median,official:WCL_raw,spatial_1000m,2493,6000,39,672,5919,1003.4028574107342,479.4601660745637,523.9426913361706,2.0927762688312446,70.27157695493422,1091.2373063949753,1.3501711774141154,3.0000196009024207,0.6401925391095066,0,19
